# De Novo Monomer Dataset compiled by Daniel Peñas-Utrilla and Enrique Marcos (July 2022)

# Designs were collected from the following references:

# id Reference
#-------------------------------------------------------------
#  1  Koga N et al.,Nature(2012). doi:10.1038/nature11600 
#  2  Lin YR et al.,PNAS(2015). doi: 10.1073/pnas.1509508112
#  3  Brunette TJ et al.,Nature(2015). doi:10.1038/nature16162
#  4  Doyle L et al.,Nature(2015). doi:10.1038/nature16191
#  5  Marcos E et al.,Science(2017). doi:10.1126/science.aah7389
#  6  Dou J et al.,Nature(2018). doi:10.1038/s41586-018-0509-0
#  7  Marcos E et al.,Nat.Struct.Mol.Biol.(2018). doi:10.1038/s41594-018-0141-6
#  8  Basanta B et al.,PNAS(2020). doi:10.1073/pnas.2005412117
#  9  Pan X et al.,Science(2020). doi:10.1126/science.abc0881
# 10  Minami S et al.,Biorxiv(2021). doi:10.1101/2021.08.06.455475
# 11  Chidyausiku TM et al.,Biorxiv(2021). doi:10.1101/2021.12.20.472081
# 12  Kuhlman B et al.,Science(2003). doi:10.1126/science.1089427
# 13  Huang PS et al.,Nat.Chem.Biol.(2016). doi:10.1038/nchembio.1966
# 13  Rocklin GJ et al.,Science(2017). doi:10.1126/science.aan0693

# the pdb field below corresponds to the name of the design as reported in the corresponding reference plus a ".0" or ".1" suffix if the design was considered unsuccessful or successful, respectively.
# succesful designs were those reported to be predominantly monomeric by SEC-MALS and had a circular dichroism spectra compatible with the design structure

pdb,median_plddt_CF,median_min_plddt_CF,median_res_plddt75_CF,median_rmsd_intra,median_rmsd_alone,median_inter_nres,max_inter_nres,median_buried_hydrophobic_surface,median_ddg,median_sasa_interface,median_monomer_hpatch,median_monomer_sap_score,median_total_score_monomer_relax,graph_solubility,Soluprot_solubility,net_charge72,median_plddt,plddt_bm,plddt_wm,min_plddt_bm,median_%_res_plddt_upper75,median_q_score,q_score_bm,q_score_wm,median_CA_rms,mean_CA_rms_bm,max_CA_rms_bm,mean_CA_rms_wm,median_%_res_CA_rms_low15,perc_low_rms,tot_exp,maxrmsd,maxavg,av_all_low3_rms,hpatch_monomer,SAP_monomer,total_score_monomer,monomer,reference_id
DHR45.0,94.46,83.2,100.0,0.11,1.1,0.0,6,130.19,-6.29,214.46,0.64,11.79,-7.28,0.743,0.7742,-16.57,95.68,96.85,91.67,89.95,97.83,0.68,0.7,0.66,2.96,2.79,5.52,3.33,0.0,80.1,109445.2,0.92,2.8,0.24,0.64,12.01,-3.84,0,3
DHR46.1,93.66,81.78,100.0,0.16,0.33,0.0,0,121.08,0.0,0.0,3.92,32.23,-7.39,0.838,0.581,-12.55,96.44,96.65,95.1,85.34,98.05,0.78,0.79,0.78,1.65,1.6,3.96,1.66,50.0,76.3,153535.8,1.72,3.41,0.26,3.2,33.04,-3.98,1,3
DHR47.1,94.22,83.6,100.0,0.13,0.33,0.0,0,115.53,-2.13,200.11,2.72,28.92,-6.91,0.799,0.5395,-12.65,96.29,96.5,95.0,84.74,98.05,0.8,0.81,0.79,1.43,1.42,4.52,1.54,67.53,75.0,167849.0,1.75,3.52,0.3,3.36,30.46,-3.66,1,3
DHR48.0,91.83,82.1,100.0,0.12,11.4,1.0,2,137.95,-3.46,60.98,4.24,14.26,-7.48,0.851,0.75,-14.57,74.81,81.6,72.9,45.13,53.16,0.85,0.87,0.85,1.02,0.94,1.8,1.04,96.84,72.2,175120.6,2.1,3.59,0.33,7.52,35.4,-3.51,0,3
DHR49_dim.0,93.41,83.6,100.0,0.06,0.33,20.0,24,138.7,-40.58,484.18,1.76,13.99,-7.24,0.851,0.9517,-9.56,96.82,97.22,95.43,89.19,98.1,0.92,0.92,0.92,0.7,0.7,1.61,0.7,98.1,67.6,243448.9,3.2,3.71,0.54,0.64,12.14,-3.82,0,3
DHR5.1,81.55,63.51,84.8,0.31,0.66,0.0,2,133.17,-7.59,182.72,1.6,33.42,-7.02,0.608,0.8877,-6.66,87.98,92.04,83.41,79.47,97.97,0.87,0.88,0.87,0.92,0.89,2.46,0.94,95.94,70.2,314271.1,3.24,3.81,0.36,1.92,36.5,-3.78,1,3
DHR50.0,90.05,78.25,100.0,0.09,0.42,0.0,7,131.47,0.0,0.0,13.52,46.41,-7.28,0.855,0.6845,-13.57,94.14,94.89,93.51,87.25,98.24,0.88,0.88,0.87,0.92,0.88,1.39,0.94,98.24,85.1,110795.9,0.56,2.41,0.19,8.0,48.22,-3.91,0,3
DHR51.1,92.27,68.27,97.6,0.16,0.63,6.5,18,141.46,-9.92,107.08,2.4,17.88,-7.52,0.793,0.727,-5.59,95.77,95.92,95.0,68.71,97.06,0.83,0.85,0.81,1.34,1.11,2.97,1.62,68.82,79.0,148584.5,1.9,3.46,0.34,3.36,16.65,-3.79,1,3
DHR52.1,92.5,67.18,97.6,0.13,0.48,6.5,15,133.96,-11.5,277.65,3.6,15.58,-7.06,0.901,0.5418,-5.68,96.11,96.13,95.11,75.12,98.24,0.86,0.87,0.83,1.02,0.9,1.65,1.22,88.24,79.0,151083.0,1.95,3.47,0.33,3.36,14.43,-3.7,1,3
DHR53.1,92.29,76.1,100.0,0.05,0.22,3.0,5,135.87,-7.1,222.23,10.08,41.79,-7.9,0.853,0.946,-3.59,95.98,96.38,95.03,89.35,98.24,0.92,0.92,0.91,0.75,0.74,1.45,0.77,98.24,63.4,294415.1,1.19,3.58,0.29,9.76,40.15,-4.15,1,3
DHR54.1,93.1,80.34,100.0,0.06,0.34,0.0,0,143.56,-0.0,0.0,2.64,15.9,-7.62,0.916,0.918,-11.56,97.1,97.48,96.35,88.14,98.24,0.85,0.86,0.85,1.04,1.04,2.43,1.06,90.0,79.3,145889.3,0.76,3.13,0.19,2.4,14.91,-4.02,1,3
DHR55.1,91.08,77.78,100.0,0.21,0.51,3.0,14,148.97,-6.31,204.48,10.08,24.1,-7.44,0.672,0.4836,10.39,96.21,96.76,94.39,88.7,98.35,0.81,0.81,0.8,1.31,1.3,2.04,1.37,70.88,72.4,207623.7,1.67,3.66,0.37,12.0,27.16,-3.9,1,3
DHR56.1,91.18,78.7,100.0,0.16,0.31,10.5,27,137.56,-10.23,364.36,9.04,24.92,-7.22,0.639,0.491,9.26,95.79,96.84,94.38,88.69,98.35,0.8,0.81,0.8,1.37,1.26,2.67,1.4,67.58,75.5,178915.1,1.71,3.15,0.29,6.56,20.78,-3.74,1,3
DHR57.1,89.4,73.18,99.45,0.11,0.41,0.0,4,149.55,-6.03,67.4,24.64,31.72,-7.34,0.854,0.6402,-10.58,95.73,96.05,94.41,83.06,98.39,0.69,0.7,0.66,2.57,2.33,6.29,2.8,3.23,63.7,334737.2,2.1,4.16,0.31,6.4,24.84,-3.84,1,3
DHR58.1,89.1,70.5,98.08,0.13,0.46,0.0,4,142.88,-3.15,7.18,26.96,32.31,-7.18,0.857,0.5849,-10.67,94.89,95.62,92.94,82.92,98.39,0.84,0.84,0.83,1.14,1.11,2.55,1.16,82.26,74.6,211609.8,1.68,3.7,0.28,5.6,26.44,-3.74,1,3
DHR59.1,93.84,79.44,100.0,0.13,0.23,4.5,8,149.25,-6.26,59.21,8.16,14.04,-7.61,0.763,0.7424,-12.57,96.26,96.56,95.48,82.39,98.42,0.89,0.9,0.88,0.82,0.8,1.19,0.88,98.42,70.2,248207.1,3.49,3.65,0.72,8.96,16.91,-3.94,1,3
DHR6.1,88.96,72.5,99.08,0.15,0.84,1.0,8,133.1,-5.08,155.02,3.28,27.25,-7.0,0.591,0.586,-18.61,74.76,78.87,48.8,61.96,47.59,0.63,0.66,0.63,3.23,3.05,6.37,3.51,0.0,66.1,285587.3,3.19,3.79,0.5,3.36,33.47,-3.56,1,3
DHR60.0,91.74,83.82,100.0,0.11,0.36,0.0,3,124.42,-0.0,0.0,3.52,15.34,-6.98,0.718,0.6601,-1.6,94.69,95.92,92.49,90.63,97.69,0.73,0.77,0.7,2.13,1.72,3.12,2.61,26.15,68.4,174937.7,2.94,3.62,0.4,10.72,13.26,-3.71,0,3
DHR61.0,87.96,78.1,100.0,0.14,0.52,1.0,4,108.18,-8.33,146.83,3.76,14.84,-6.44,0.748,0.5683,-1.69,92.09,93.93,90.43,82.25,97.69,0.7,0.71,0.68,2.5,2.33,3.83,2.62,6.92,78.7,102840.3,1.9,3.18,0.31,1.76,10.43,-3.32,0,3
DHR62.1,94.99,87.46,100.0,0.11,0.24,1.0,9,130.94,-6.0,250.71,2.56,6.06,-7.57,0.948,0.7448,1.4,98.06,98.2,96.92,91.31,98.24,0.86,0.89,0.82,1.02,0.87,1.56,1.2,92.35,91.1,100052.8,0.35,2.59,0.14,2.4,6.44,-4.02,1,3
DHR63.0,88.92,73.5,99.53,0.11,0.34,1.5,3,150.0,-3.09,9.23,7.28,34.9,-7.85,0.845,0.6338,-11.56,93.98,94.72,91.73,80.99,98.6,0.83,0.84,0.83,1.15,1.09,1.91,1.16,89.72,80.2,183333.6,0.65,2.66,0.22,5.6,28.37,-4.12,0,3
DHR64.1,92.32,75.5,99.78,0.14,0.34,4.0,13,148.01,-4.18,8.97,1.92,20.52,-7.92,0.793,0.946,-12.54,96.49,96.68,95.6,81.19,98.67,0.9,0.9,0.9,0.82,0.81,1.56,0.82,97.35,79.0,249712.4,3.48,3.68,0.36,3.04,19.27,-4.08,1,3
DHR65.0,90.98,71.65,99.55,0.09,0.38,7.0,13,138.76,-8.19,205.32,1.44,21.44,-7.48,0.727,0.8903,-11.67,95.05,95.61,94.5,79.01,98.67,0.88,0.88,0.88,0.93,0.88,1.76,0.95,89.38,79.6,242332.7,3.25,3.61,0.32,2.08,19.16,-3.87,0,3
DHR66.1,92.73,79.08,100.0,0.13,0.24,1.5,9,153.02,-13.43,397.93,19.76,30.1,-7.82,0.696,0.501,8.4,95.78,95.88,94.76,87.05,98.6,0.82,0.83,0.81,1.3,1.25,3.24,1.36,64.95,76.2,212585.8,1.46,3.38,0.31,13.28,24.37,-4.08,1,3
DHR67.1,69.38,49.52,22.76,0.39,7.44,0.0,2,158.68,-3.4,16.15,25.76,56.72,-7.06,0.666,0.4974,6.42,97.06,97.29,96.49,89.94,98.74,0.93,0.95,0.92,0.69,0.6,0.93,0.72,98.74,81.1,240504.3,3.65,3.75,0.43,18.88,36.25,-4.16,1,3
DHR68.1,93.02,73.81,99.37,0.1,0.52,3.0,16,144.62,-15.15,220.17,4.48,27.11,-8.17,0.742,0.8052,-12.55,96.35,96.53,95.58,80.65,98.76,0.91,0.93,0.9,0.8,0.67,1.21,0.81,98.35,79.5,248375.2,2.98,3.79,0.34,3.52,25.27,-4.19,1,3
DHR69.0,94.0,70.76,99.59,0.11,0.29,1.0,2,141.78,-15.4,138.16,1.28,30.44,-7.88,0.773,0.8577,-13.54,95.4,95.46,94.22,68.66,97.17,0.77,0.81,0.76,1.84,1.46,3.11,2.22,40.89,83.1,192833.6,2.95,3.55,0.23,0.96,22.18,-4.21,0,3
DHR7.1,86.06,70.62,98.48,0.12,0.36,3.0,6,135.64,-5.33,155.55,7.6,13.76,-7.02,0.694,0.8943,-1.72,91.73,92.69,90.9,82.52,98.2,0.89,0.89,0.88,0.85,0.84,1.21,0.88,98.2,73.4,175552.1,0.9,3.27,0.25,8.8,15.3,-3.78,1,3
DHR70.1,94.28,83.8,100.0,0.13,0.48,5.0,6,134.34,-4.78,483.98,6.96,27.06,-7.63,0.699,0.5228,2.43,97.46,97.51,96.76,90.77,98.48,0.87,0.89,0.86,0.96,0.83,1.25,1.0,94.95,91.2,94884.9,0.44,1.8,0.15,9.76,23.34,-3.95,1,3
DHR71.1,92.4,76.25,100.0,0.18,0.41,1.0,14,143.86,-0.03,9.99,4.0,21.68,-7.95,0.803,0.9312,-9.58,97.03,97.56,96.26,86.05,98.48,0.91,0.91,0.9,0.8,0.78,1.26,0.81,98.48,82.4,182939.3,0.55,3.41,0.16,4.64,19.13,-4.13,1,3
DHR72.1,93.68,81.36,100.0,0.13,0.27,0.0,2,138.5,-0.0,0.0,13.36,28.98,-7.87,0.744,0.5954,-2.59,96.15,96.51,94.5,85.27,97.95,0.9,0.91,0.9,0.76,0.75,1.14,0.77,97.95,90.3,80858.8,0.31,2.1,0.15,15.84,29.68,-4.15,1,3
DHR73.0,95.71,85.33,100.0,0.13,0.29,2.0,19,159.17,-8.44,258.97,12.08,37.02,-8.18,0.923,0.6106,-10.55,97.65,97.86,96.93,92.61,98.48,0.89,0.89,0.89,0.86,0.86,1.85,0.87,96.97,95.3,71212.7,0.31,1.81,0.14,8.48,32.08,-4.26,0,3
DHR74.0,93.8,83.98,100.0,0.11,0.34,4.5,12,146.06,-6.35,120.17,12.72,21.6,-8.18,0.728,0.5745,5.41,96.57,96.6,94.71,88.67,98.62,0.86,0.86,0.85,1.07,1.04,1.98,1.09,88.53,75.2,277645.5,3.66,3.76,0.5,6.4,25.19,-4.28,0,3
DHR75.0,96.47,86.92,100.0,0.09,0.18,0.0,0,139.4,0.0,0.0,4.08,21.91,-7.93,0.761,0.7215,-9.56,97.66,97.84,96.86,92.57,98.51,0.9,0.91,0.89,0.79,0.78,1.39,0.83,98.51,76.1,230533.9,2.86,3.55,0.41,3.84,21.13,-4.07,0,3
DHR76_dim.0,92.1,84.2,100.0,0.18,0.38,2.5,10,159.93,-13.45,153.11,2.88,25.92,-7.79,0.742,0.9228,-6.56,95.28,95.9,91.98,86.57,98.62,0.89,0.9,0.89,0.85,0.84,1.5,0.86,98.62,80.7,200731.7,2.99,3.52,0.28,2.72,25.26,-4.09,0,3
DHR77.1,94.6,79.28,100.0,0.2,1.09,0.0,3,132.62,-2.69,8.2,1.2,12.34,-7.82,0.827,0.7461,-18.54,95.61,96.36,94.69,81.36,98.51,0.84,0.84,0.83,1.18,1.13,2.33,1.23,86.14,72.8,269030.5,3.5,3.62,0.72,0.96,13.03,-3.99,1,3
DHR78.1,94.48,80.46,100.0,0.17,0.4,2.0,6,127.26,-2.94,163.64,1.44,15.11,-7.63,0.777,0.7551,-15.64,95.7,95.98,94.19,83.63,98.51,0.81,0.82,0.81,1.35,1.32,2.32,1.4,67.82,72.5,276104.4,3.49,3.62,0.64,0.64,15.22,-3.93,1,3
DHR79.1,92.32,78.24,100.0,0.06,0.26,4.5,6,135.0,-6.23,138.39,2.64,27.13,-7.51,0.823,0.9301,-22.53,94.12,95.1,93.17,83.28,98.65,0.73,0.74,0.73,2.09,1.98,4.83,2.14,26.58,77.1,224089.9,2.1,3.61,0.3,4.0,27.9,-3.91,1,3
DHR8.1,86.39,66.94,96.02,0.25,1.02,5.5,19,165.04,-8.48,195.7,47.04,37.32,-7.25,0.703,0.9259,-13.58,89.17,92.04,87.32,74.04,96.09,0.88,0.89,0.87,0.91,0.82,1.4,0.93,94.41,78.6,127644.7,1.74,2.69,0.32,41.12,27.47,-3.83,1,3
DHR80.1,94.82,82.08,100.0,0.09,0.34,2.0,20,134.72,-9.91,85.62,0.48,17.98,-7.63,0.822,0.9269,-23.47,96.88,97.25,96.01,88.04,98.67,0.85,0.86,0.84,1.11,1.06,1.89,1.17,84.96,76.2,267029.6,2.2,3.6,0.25,4.32,14.92,-3.96,1,3
DHR81.1,96.02,84.54,100.0,0.12,0.25,3.0,15,134.61,-10.87,205.0,0.72,20.76,-7.53,0.76,0.9237,-23.56,97.49,97.56,96.81,91.55,98.67,0.88,0.88,0.85,0.95,0.93,1.57,1.11,98.23,74.6,285801.8,3.11,3.63,0.49,0.64,18.7,-3.96,1,3
DHR82.1,94.74,61.6,99.12,0.06,0.26,0.0,23,141.35,-5.5,165.55,7.12,29.46,-7.94,0.757,0.7586,-12.56,96.7,97.12,95.07,62.59,98.26,0.69,0.7,0.69,2.61,2.56,6.63,2.72,19.13,80.6,185390.9,0.69,3.13,0.21,11.52,32.78,-4.16,1,3
DHR83.0,93.81,61.67,99.34,0.06,0.28,1.0,24,133.64,-6.78,323.41,6.48,28.43,-7.62,0.743,0.7131,-12.65,95.82,96.13,94.04,64.41,98.26,0.7,0.8,0.69,2.7,1.54,5.01,2.79,14.78,81.8,175774.3,0.63,2.89,0.19,22.72,32.36,-4.02,0,3
DHR9.1,86.51,57.18,95.41,0.11,0.55,3.5,18,144.27,-6.42,188.46,4.64,42.82,-7.38,0.7,0.901,-16.56,94.55,96.27,93.01,77.4,96.98,0.86,0.87,0.86,1.0,0.96,1.77,1.05,97.49,78.6,185066.9,0.96,3.3,0.18,3.04,46.22,-3.94,1,3
DIG1.0,89.28,76.09,100.0,0.11,0.49,3.5,5,118.18,-5.87,283.29,2.24,23.76,-7.39,0.497,0.452,1.35,93.45,93.71,91.14,86.21,95.65,0.92,0.92,0.91,0.67,0.66,0.81,0.71,95.65,67.0,80582.5,1.01,3.01,0.37,2.24,29.01,-3.8,0,11
DIG10.0,90.54,83.47,100.0,0.08,0.26,1.0,3,115.34,-0.0,0.0,1.04,28.46,-7.04,0.571,0.6739,-4.31,91.98,92.62,90.9,86.44,95.31,0.84,0.86,0.83,1.02,0.91,1.36,1.05,87.5,72.4,92457.0,0.84,3.89,0.41,1.6,35.54,-3.53,0,11
DIG11.0,90.48,68.63,95.24,0.1,0.38,1.5,3,122.24,-7.2,64.86,0.56,23.96,-7.06,0.595,0.7261,-1.26,93.27,93.74,90.88,79.83,95.45,0.89,0.9,0.88,0.77,0.73,0.93,0.79,95.45,73.7,66343.9,0.56,2.65,0.34,0.96,22.3,-3.55,0,11
DIG12.0,83.35,69.37,88.64,0.1,0.55,1.0,4,105.24,-5.98,174.5,2.64,30.11,-6.68,0.56,0.7126,5.36,84.74,86.43,83.23,72.44,89.86,0.9,0.91,0.89,0.72,0.71,0.92,0.76,95.65,64.0,116051.1,1.77,3.78,0.47,1.76,31.69,-3.43,0,11
DIG13.0,73.48,58.41,42.5,0.16,1.94,18.0,22,125.52,-63.41,934.82,1.52,36.72,-6.14,0.609,0.9174,-0.26,86.07,88.0,83.74,80.05,95.24,0.88,0.88,0.87,0.85,0.84,1.21,0.91,95.24,57.5,109166.8,1.39,3.84,0.45,0.96,35.22,-3.22,0,11
DIG14.0,78.02,48.68,64.79,0.19,0.74,13.5,38,110.89,-39.37,966.83,1.28,23.26,-6.43,0.589,0.7592,-1.04,86.79,87.72,84.87,65.6,81.08,0.86,0.89,0.85,0.92,0.82,1.49,1.0,86.49,64.4,93739.4,1.67,3.19,0.46,0.16,18.17,-3.35,0,11
DIG15.0,90.78,78.57,100.0,0.04,0.24,3.0,21,107.2,-6.21,160.74,1.28,19.51,-7.34,0.684,0.8726,-1.15,92.12,92.61,90.48,84.8,95.95,0.89,0.9,0.88,0.76,0.73,0.86,0.8,95.95,72.3,68103.3,0.62,2.17,0.33,1.6,26.15,-3.57,0,11
DIG16.0,76.26,47.97,55.71,0.12,1.49,25.0,26,99.12,-79.55,1160.42,1.6,34.61,-6.24,0.63,0.6341,2.83,81.69,84.69,79.91,58.57,78.08,0.81,0.82,0.79,1.19,1.11,2.58,1.33,75.34,57.8,99780.5,1.89,3.38,0.55,0.8,29.73,-3.26,0,11
DIG17.0,91.52,84.28,100.0,0.15,0.36,3.0,31,109.51,-2.55,198.61,0.8,24.7,-6.98,0.512,0.4589,-0.32,87.48,92.97,71.36,87.17,95.59,0.89,0.91,0.89,0.77,0.7,0.83,0.78,95.59,64.5,93142.6,0.7,3.37,0.4,0.48,25.59,-3.58,0,11
DIG18.0,68.74,51.24,27.94,0.08,8.63,21.0,28,135.36,-67.61,1024.59,1.52,39.81,-5.8,0.487,0.7025,0.74,90.18,91.01,88.43,69.51,94.37,0.88,0.89,0.87,0.87,0.83,1.53,0.94,92.96,69.9,72223.3,0.95,2.45,0.38,1.76,41.01,-3.47,0,11
DIG19.0,85.5,58.99,91.04,0.07,2.59,6.0,8,108.3,-11.03,246.53,4.48,29.98,-6.71,0.707,0.854,1.67,89.18,90.51,87.93,78.93,95.71,0.89,0.9,0.88,0.77,0.74,0.92,0.83,95.71,67.0,94739.4,1.15,3.4,0.41,1.92,30.51,-3.49,0,11
DIG2.0,84.74,67.56,91.66,0.15,0.98,1.5,4,113.9,-3.08,64.32,0.4,29.88,-6.68,0.648,0.9329,-2.17,89.07,89.62,83.26,77.69,92.75,0.86,0.88,0.85,0.88,0.83,0.93,0.95,95.65,59.9,122561.7,2.81,3.32,0.45,0.96,32.16,-3.52,0,11
DIG20.0,78.76,50.44,69.12,0.12,0.55,7.5,10,111.19,-18.41,671.5,1.76,31.11,-6.58,0.587,0.7608,-2.24,85.57,85.93,84.05,54.58,81.69,0.83,0.84,0.83,1.09,1.02,2.43,1.1,81.69,62.0,94683.2,1.36,2.98,0.45,0.8,32.5,-3.39,0,11
DIG21.1,77.34,45.54,62.1,0.14,0.47,9.0,12,119.7,-21.01,654.04,0.8,28.24,-6.6,0.574,0.7591,-2.58,86.88,88.46,84.65,72.04,92.31,0.75,0.76,0.72,1.7,1.63,4.54,2.08,55.38,63.8,194801.5,0.66,3.84,0.36,0.96,31.99,-3.43,1,11
DIG22.0,83.88,62.02,88.71,0.1,0.74,3.0,10,115.44,-28.41,662.1,1.68,28.54,-6.46,0.565,0.7364,-1.59,86.53,88.11,83.1,68.52,89.23,0.85,0.87,0.85,0.94,0.84,1.15,0.96,95.38,73.0,61819.7,0.52,2.34,0.34,1.44,30.07,-3.33,0,11
DIG23.0,84.38,66.61,82.26,0.09,0.52,13.5,20,113.02,-32.21,713.39,2.0,22.04,-7.06,0.675,0.8186,-3.32,85.3,88.82,79.89,76.66,84.62,0.82,0.84,0.81,1.07,0.96,1.8,1.08,83.08,67.5,56227.4,0.92,2.1,0.44,0.96,24.36,-3.6,0,11
DIG24.0,94.64,82.18,100.0,0.11,0.28,8.0,36,107.76,-22.33,348.84,0.48,22.04,-7.13,0.573,0.8994,-1.64,94.96,95.48,85.17,80.51,95.77,0.87,0.9,0.86,0.84,0.73,0.99,0.91,95.77,72.4,63287.6,1.23,2.68,0.38,0.32,19.39,-3.68,0,11
DIG25.0,81.36,56.96,85.62,0.18,1.14,24.5,34,123.64,-71.34,1038.28,2.56,40.72,-6.35,0.677,0.688,-5.17,81.79,83.07,77.06,61.43,82.89,0.87,0.88,0.86,0.83,0.79,0.99,0.9,96.05,59.7,136309.2,2.81,3.62,0.52,1.92,37.79,-3.18,0,11
DIG26.0,87.76,72.18,98.46,0.1,0.4,19.0,21,113.85,-66.26,1031.14,1.2,25.13,-6.92,0.756,0.949,-2.32,90.07,90.93,87.55,73.4,95.59,0.87,0.87,0.86,0.88,0.86,1.36,0.9,95.59,63.0,81138.9,0.86,2.94,0.43,1.12,26.01,-3.41,0,11
DIG3.0,83.82,71.85,97.66,0.12,0.52,19.0,20,119.76,-41.64,778.82,1.2,28.38,-6.68,0.651,0.9409,-0.21,86.36,87.34,84.11,74.04,95.52,0.86,0.88,0.85,0.9,0.82,1.1,0.91,95.52,73.3,67527.1,0.72,2.37,0.36,0.96,32.01,-3.34,0,11
DIG4.0,90.26,81.77,100.0,0.08,0.27,0.5,6,115.46,-7.67,211.39,2.24,29.7,-6.82,0.544,0.7478,-0.32,89.79,91.11,87.57,83.37,95.52,0.88,0.89,0.88,0.79,0.76,1.24,0.79,95.52,80.3,47314.1,0.57,1.75,0.34,2.88,35.48,-3.55,0,11
DIG5.0,88.38,72.82,98.57,0.04,0.22,17.0,22,105.6,-11.76,526.52,1.68,24.62,-7.1,0.641,0.7119,1.74,91.11,91.71,87.99,83.68,95.89,0.87,0.9,0.87,0.83,0.72,0.86,0.86,95.89,54.9,117416.4,0.92,3.38,0.41,1.76,27.96,-3.49,0,11
DIG6.0,91.81,73.13,97.72,0.1,0.56,0.0,5,110.32,-14.47,186.68,1.84,26.42,-6.86,0.577,0.8824,-0.64,93.28,93.81,92.46,77.6,94.2,0.9,0.91,0.89,0.76,0.7,0.99,0.78,95.65,72.3,65839.6,1.14,2.67,0.41,4.32,30.81,-3.48,0,11
DIG7.0,90.27,81.7,100.0,0.09,0.96,0.0,8,107.97,-7.55,113.15,0.8,21.28,-6.94,0.722,0.874,-1.32,93.03,94.09,91.16,83.34,95.52,0.89,0.89,0.88,0.77,0.74,0.92,0.8,95.52,71.1,68710.9,0.59,2.9,0.36,2.72,24.67,-3.59,0,11
DIG8-CC.1,88.8,74.04,98.44,0.12,0.31,1.0,8,96.28,-3.69,120.35,0.72,19.82,-6.72,0.715,0.8776,-2.35,89.85,90.7,88.06,81.85,95.52,0.88,0.91,0.88,0.79,0.7,0.85,0.8,95.52,68.1,91926.8,0.75,3.19,0.36,1.12,25.81,-3.47,1,11
DIG8.1,87.44,73.31,97.66,0.1,0.38,0.0,3,103.98,-1.42,57.67,1.04,26.17,-6.72,0.732,0.9018,-2.32,89.62,90.16,86.34,81.3,95.52,0.88,0.89,0.88,0.8,0.77,1.13,0.81,95.52,69.1,78842.9,0.84,2.76,0.37,1.12,26.12,-3.39,1,11
DIG9.0,88.96,66.78,95.45,0.12,0.52,18.0,24,111.57,-38.84,624.1,0.16,15.18,-7.0,0.721,0.842,-1.63,92.82,93.41,89.85,76.1,92.75,0.89,0.91,0.88,0.77,0.69,0.85,0.82,95.65,65.8,85999.7,0.76,2.96,0.41,0.16,16.22,-3.53,0,11
FOLD-I-10.0,79.39,66.34,76.43,0.09,0.36,8.5,15,130.08,-20.08,482.58,1.92,24.7,-6.22,0.663,0.7584,-4.23,87.14,90.77,85.19,82.5,95.89,0.84,0.84,0.84,1.06,1.06,1.59,1.12,94.52,75.1,60550.6,0.85,2.72,0.31,1.92,26.26,-3.23,0,1
FOLD-I-11.0,83.7,60.01,92.86,0.13,0.39,0.0,10,119.43,0.0,0.0,2.4,16.26,-6.4,0.586,0.6782,3.82,88.55,90.16,82.98,70.31,93.15,0.86,0.88,0.85,0.94,0.86,1.12,1.04,95.89,80.3,45071.9,0.95,2.23,0.31,3.2,16.91,-3.14,0,1
FOLD-I-2.0,87.89,70.18,98.57,0.08,0.6,15.0,16,129.01,-34.79,515.78,2.08,17.77,-6.15,0.56,0.7696,0.36,87.77,88.19,85.29,77.79,95.89,0.81,0.83,0.79,1.27,1.09,1.57,1.39,71.23,78.9,49236.4,0.79,2.37,0.28,2.08,16.7,-3.2,0,1
FOLD-I-3.0,76.45,59.76,60.72,0.13,0.46,2.0,15,125.88,-3.32,128.37,2.72,21.98,-6.32,0.669,0.7937,-2.23,84.71,85.86,83.37,68.93,93.15,0.87,0.88,0.87,0.88,0.85,1.11,0.9,95.89,76.7,58252.9,1.06,2.76,0.29,1.76,24.17,-3.34,0,1
FOLD-I-4.0,88.02,79.3,100.0,0.06,0.26,1.0,4,105.35,-5.81,10.51,0.8,8.88,-6.29,0.732,0.592,-3.22,92.81,94.35,89.68,90.91,95.89,0.84,0.86,0.84,1.06,0.98,1.27,1.1,95.89,77.6,52017.7,0.76,2.48,0.28,0.8,10.66,-3.2,0,1
FOLD-I-5.1,90.15,78.92,100.0,0.03,0.25,12.0,14,150.32,-34.87,624.91,4.0,36.64,-6.74,0.57,0.9254,-1.23,94.49,95.79,93.9,91.39,95.89,0.87,0.88,0.86,0.89,0.86,1.19,0.94,95.89,76.0,58816.6,0.83,2.72,0.31,5.76,38.08,-3.6,1,1
FOLD-I-6.0,80.5,62.54,84.29,0.21,0.59,0.0,3,120.78,-1.13,57.67,4.16,18.71,-6.32,0.588,0.8499,4.66,82.86,86.62,81.34,71.01,86.3,0.86,0.87,0.86,0.93,0.9,1.13,0.96,95.89,74.6,58845.0,0.81,2.48,0.3,8.64,19.21,-3.21,0,1
FOLD-I-7.0,86.91,72.22,98.57,0.06,0.56,1.5,3,127.79,-0.0,0.0,3.76,26.89,-6.3,0.534,0.6826,4.29,86.55,89.24,83.29,81.45,95.89,0.8,0.83,0.79,1.28,1.12,1.63,1.38,84.93,80.4,48032.7,0.74,2.01,0.27,2.4,21.81,-3.23,0,1
